"EVTYPE";"BGN_DATE";"STATE";"nobs";"qFA";"qIN";"qPR";"qCR"
"476";"flood";2001;"WY";19;0;0;818000;0
"477";"flood";2002;"AK";26;3;0;31163000;0
"478";"flood";2002;"AL";38;0;0;7192000;0
"479";"flood";2002;"AM";63;0;0;0;0
"480";"flood";2002;"AN";9;0;1;0;0
"481";"flood";2002;"AR";134;2;1;346500;55000
"482";"flood";2002;"AS";6;0;0;50000;0
"483";"flood";2002;"AZ";43;0;0;163000;0
"484";"flood";2002;"CA";53;3;5;1959000;0
"485";"flood";2002;"CO";89;0;3;3213000;2000
"486";"flood";2002;"CT";3;0;0;0;0
"487";"flood";2002;"DE";11;0;0;0;0
"488";"flood";2002;"FL";90;0;1;2070000;0
"489";"flood";2002;"GA";74;0;0;7420000;2200000
"490";"flood";2002;"GM";106;0;0;0;0
"491";"flood";2002;"GU";4;0;1;242000;0
"492";"flood";2002;"HI";19;0;0;2728000;230000
"493";"flood";2002;"IA";107;0;0;1765000;7e+05
"494";"flood";2002;"ID";19;0;0;15000;0
"495";"flood";2002;"IL";294;2;3;4296000;0
"496";"flood";2002;"IN";230;0;0;11109000;0
"497";"flood";2002;"KS";119;0;0;1470000;1150000
"498";"flood";2002;"KY";267;1;1;36997000;510000
"499";"flood";2002;"LA";61;0;0;974000;0
"500";"flood";2002;"LE";5;0;0;0;0
"501";"flood";2002;"LH";7;0;0;0;0
"502";"flood";2002;"LM";7;0;0;0;0
"503";"flood";2002;"LS";3;0;0;0;0
"504";"flood";2002;"MA";1;0;0;2000;0
"505";"flood";2002;"MD";11;0;0;505000;0
"506";"flood";2002;"ME";1;0;0;0;0
"507";"flood";2002;"MI";16;0;0;18840000;15000
"508";"flood";2002;"MN";132;0;2;233880000;38510000
"509";"flood";2002;"MO";289;5;7;25429000;205000
"510";"flood";2002;"MS";110;3;0;520500;0
"511";"flood";2002;"MT";32;0;0;321000;75000
"512";"flood";2002;"NC";75;1;0;3097000;0
"513";"flood";2002;"ND";59;0;0;812500;0
"514";"flood";2002;"NE";29;1;0;857000;56000
"515";"flood";2002;"NH";3;0;0;0;0
"516";"flood";2002;"NJ";30;0;0;0;0
"517";"flood";2002;"NM";45;0;0;875000;0
"518";"flood";2002;"NV";8;1;1;1e+06;0
"519";"flood";2002;"NY";63;0;0;3925000;15000
"520";"flood";2002;"OH";99;1;0;2264000;0
"521";"flood";2002;"OK";85;0;0;340000;0
"522";"flood";2002;"OR";18;0;0;1001000;0
"523";"flood";2002;"PA";85;0;3;10750000;0
"524";"flood";2002;"PH";3;0;0;0;0
"525";"flood";2002;"PR";36;0;0;1570000;20000
